jira_ticket_id,test_case_id,step_id,action,expectation,source_result_code,category,release,label_hint
JIRA-1129,TC-017,ST-1130,Edit record,Expected: Read-only role,RC1017,Authorization,SR8,match
JIRA-1130,TC-017,ST-1131,Edit record,Expected: Read-only role,RC1017,Authorization,SR8,match
JIRA-1131,TC-017,ST-1132,Edit record,Expected: Read-only role,RC1017,Authorization,SR8,match
JIRA-1132,TC-017,ST-1133,Edit record (modified step),Expected: Read-only role,RC1017,Authorization,SR8,mismatch
JIRA-1133,TC-017,ST-1134,Edit record,Expected: Read-only role BUT system behaves differently,RC1017,Authorization,SR8,mismatch
JIRA-1134,TC-017,ST-1135,Edit record (modified step),Expected: Read-only role,RC1017,Authorization,SR8,mismatch
JIRA-1135,TC-017,ST-1136,Edit record,Expected: Read-only role,RC1017,Authorization,SR8,match
JIRA-1136,TC-018,ST-1137,Submit payment,Expected: Card declined,RC1018,Payments,SR8,match
JIRA-1137,TC-018,ST-1138,Submit payment (modified step),Expected: Card declined,RC1018,Payments,SR8,mismatch
JIRA-1138,TC-018,ST-1139,Submit payment,Expected: Card declined,RC1018,Payments,SR8,match
JIRA-1139,TC-018,ST-1140,Submit payment,Expected: Card declined,RC1018,Payments,SR8,match
JIRA-1140,TC-018,ST-1141,Submit payment,Expected: Card declined,RC1018,Payments,SR8,match
JIRA-1141,TC-018,ST-1142,Submit payment,Expected: Card declined,RC1018,Payments,SR8,match
JIRA-1142,TC-018,ST-1143,Submit payment,Expected: Card declined BUT system behaves differently,RC1018,Payments,SR8,mismatch
JIRA-1143,TC-018,ST-1144,Submit payment,Expected: Card declined,RC1018,Payments,SR8,match
JIRA-1144,TC-019,ST-1145,Call billing API,Expected: Timeout,RC1019,Backend,SR9,match
JIRA-1145,TC-019,ST-1146,Call billing API,Expected: Timeout,RC1019,Backend,SR9,match
JIRA-1146,TC-019,ST-1147,Call billing API,Expected: Timeout,RC1019,Backend,SR9,match
JIRA-1147,TC-019,ST-1148,Call billing API (modified step),Expected: Timeout,RC1019,Backend,SR9,mismatch
JIRA-1148,TC-019,ST-1149,Call billing API (modified step),Expected: Timeout,RC1019,Backend,SR9,mismatch
JIRA-1149,TC-019,ST-1150,Call billing API (modified step),Expected: Timeout,RC1019,Backend,SR9,mismatch
JIRA-1150,TC-019,ST-1151,Call billing API,Expected: Timeout,RC1019,Backend,SR9,match
JIRA-1151,TC-019,ST-1152,Call billing API,Expected: Timeout BUT system behaves differently,RC1019,Backend,SR9,mismatch
JIRA-1152,TC-020,ST-1153,User inactive,Expected: Forced logout after upgrade,RC1020,Session,SR9,match
JIRA-1153,TC-020,ST-1154,User inactive,Expected: Forced logout after upgrade,RC1020,Session,SR9,match
JIRA-1154,TC-020,ST-1155,User inactive,Expected: Forced logout after upgrade,RC1020,Session,SR9,match
JIRA-1155,TC-020,ST-1156,User inactive,Expected: Forced logout after upgrade,RC1020,Session,SR9,match
JIRA-1156,TC-020,ST-1157,User inactive,Expected: Forced logout after upgrade,RC1020,Session,SR9,match
JIRA-1157,TC-020,ST-1158,User inactive,Expected: Forced logout after upgrade,RC1020,Session,SR9,match
JIRA-1158,TC-020,ST-1159,User inactive (modified step),Expected: Forced logout after upgrade,RC1020,Session,SR9,mismatch
JIRA-1159,TC-020,ST-1160,User inactive,Expected: Forced logout after upgrade,RC1020,Session,SR9,match
